PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
General Inquiry,Manage cable..,Auto close by sub tt:10374566,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10374566 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10374566 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10309263,Not available,Online Payment Query,Field Support,Not available,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10309263 Not available,account related issue online payment query.. online payment query field support auto close sub tt:10309263 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10369129,Not available,Query about Wi-fi SSID/password,Field Support,verified // password informed ,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10369129 verified // password informed ,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10369129 verified // password informed
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10251029,Not available,ONU status offline,Field Support,done,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10251029 done,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10251029 done
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10378315,Not available,Query about Packages,Field Support,Done,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10378315 Done,account related issue query packages.. query package field support auto close sub tt:10378315 done
Accounts Related Issue,Account extend request..,Auto close by sub tt:10419482,Not available,Account extend request,Field Support,req by client,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10419482 req by client,account related issue account extend request.. account extend request field support auto close sub tt:10419482 req client
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10404842,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10404842 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10404842 available
No Internet Connection (FTTH),Idle Connection..,Auto close by sub tt:10270815,Not available,Idle Connection,Field Support,Not available,No Internet Connection (FTTH) Idle Connection.. Idle Connection Field Support Auto close by sub tt:10270815 Not available,internet connection (ftth) idle connection.. idle connection field support auto close sub tt:10270815 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10351583,Not available,Query about Wi-fi SSID/password,Field Support,call disc,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10351583 call disc,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10351583 call disc
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10333090,Not available,Speed test fine. Slow experience on certain sites,Field Support,Device pinged seen fine,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10333090 Device pinged seen fine,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10333090 device pinged seen fine
IPTV Related Issues,Error Code 1598:No internet co..,Auto close by sub tt:10274239,Not available,Error Code 1598:No internet connection,Field Support,connectoi error // mac filtering on lan // mac disabled // now fine //,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Field Support Auto close by sub tt:10274239 connectoi error // mac filtering on lan // mac disabled // now fine //,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection field support auto close sub tt:10274239 connectoi error // mac filtering lan // mac disabled // fine //
No Internet Connection (FTTH),ONU online - ONU IP Issue..,Auto close by sub tt:10310300,Not available,ONU online - ONU IP Issue,Field Support,solved by l2,No Internet Connection (FTTH) ONU online - ONU IP Issue.. ONU online - ONU IP Issue Field Support Auto close by sub tt:10310300 solved by l2,internet connection (ftth) onu online - onu ip issue.. onu online - onu ip issue field support auto close sub tt:10310300 solved l2
General Inquiry,Query about Bridging..,Auto close by sub tt:10257831,Not available,Query about Bridging,Field Support,client connected to sec router // suggest client to replug lan // and reboot ,General Inquiry Query about Bridging.. Query about Bridging Field Support Auto close by sub tt:10257831 client connected to sec router // suggest client to replug lan // and reboot ,general inquiry query bridging.. query bridging field support auto close sub tt:10257831 client connected sec router // suggest client replug lan // reboot
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10326771,Not available,Query about Packages,Field Support,mistakelny raised tt,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10326771 mistakelny raised tt,account related issue query packages.. query package field support auto close sub tt:10326771 mistakelny raised tt
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10299545,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10299545 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10299545 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10266623,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10266623 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10266623 available
